"Date","Price","Open","High","Low","Vol.","Change %"
"03/02/2022","29.2325","28.5700","30.8425","28.5700","","2.32%"
"02/28/2022","28.5700","26.7400","29.7850","26.7400","","6.84%"
"02/25/2022","26.7400","31.9825","31.9825","26.1500","","-16.39%"
"02/24/2022","31.9825","24.5425","33.9725","24.5425","","30.31%"
"02/23/2022","24.5425","26.6625","26.6625","23.9075","","-7.95%"
"02/22/2022","26.6625","22.9025","27.8150","22.9025","","16.42%"
"02/21/2022","22.9025","22.1650","23.7550","20.5700","","3.33%"
"02/18/2022","22.1650","22.0050","23.2100","21.6350","","0.73%"
"02/17/2022","22.0050","20.5925","22.3700","19.4625","","6.86%"
"02/16/2022","20.5925","20.6125","21.0200","19.3525","","-0.10%"
"02/15/2022","20.6125","22.9775","23.1400","20.4350","","-10.29%"
"02/14/2022","22.9775","18.6800","23.5350","18.6800","","23.01%"
"02/11/2022","18.6800","17.7100","19.5325","16.8550","","5.48%"
"02/10/2022","17.7100","18.5550","18.9250","16.8000","","-4.55%"
"02/09/2022","18.5550","19.6850","19.6850","17.8850","","-5.74%"
"02/08/2022","19.6850","20.4375","20.9375","19.5550","","-3.68%"
"02/07/2022","20.4375","18.8975","21.0825","18.1825","","8.15%"
"02/04/2022","18.8975","19.1600","19.7775","18.5950","","-1.37%"
"02/03/2022","19.1600","18.6500","19.5950","17.4075","","2.73%"
"02/02/2022","18.6500","19.9775","19.9775","18.5475","","-6.64%"
"02/01/2022","19.9775","21.9525","22.0700","19.7450","","-9.00%"
"01/31/2022","21.9525","20.6950","22.1100","20.6950","","6.08%"
"01/28/2022","20.6950","21.0650","21.3200","20.2825","","-1.76%"
"01/27/2022","21.0650","21.3575","23.8675","20.4425","","-1.37%"
"01/25/2022","21.3575","22.8250","24.1375","21.1800","","-6.43%"
"01/24/2022","22.8250","18.8875","23.9000","18.8875","","20.85%"
"01/21/2022","18.8875","17.7900","19.6050","16.9825","","6.17%"
"01/20/2022","17.7900","17.8175","18.4500","17.3200","","-0.15%"
"01/19/2022","17.8175","17.7800","18.4475","15.9400","","0.21%"
"01/18/2022","17.7800","16.7650","17.8750","16.7650","","6.05%"
"01/17/2022","16.7650","16.5550","17.5475","16.2675","","1.27%"
"01/14/2022","16.5550","16.7050","17.1000","15.3425","","-0.90%"
"01/13/2022","16.7050","17.1825","17.5250","16.6075","","-2.78%"
"01/12/2022","17.1825","17.7575","17.9250","16.5475","","-3.24%"
"01/11/2022","17.7575","17.6775","18.2475","16.4375","","0.45%"
"01/10/2022","17.6775","17.6025","18.3900","15.8425","","0.43%"
"01/07/2022","17.6025","17.9775","18.0900","16.8600","","-2.09%"
"01/06/2022","17.9775","17.2275","18.4175","16.4000","","4.35%"
"01/05/2022","17.2275","16.1200","17.3800","15.0875","","6.87%"
"01/04/2022","16.1200","16.4525","16.6750","15.7100","","-2.02%"
"01/03/2022","16.4525","16.2225","16.8100","15.4525","","1.42%"
"12/31/2021","16.2225","16.5650","16.7675","15.4000","","-2.07%"
"12/30/2021","16.5650","16.2425","16.7875","15.2925","","1.99%"
"12/29/2021","16.2425","16.4750","16.8625","15.8000","","-1.41%"
"12/28/2021","16.4750","17.1175","17.1175","15.2075","","-3.75%"
"12/27/2021","17.1175","16.1475","17.2775","15.2625","","6.01%"
"12/24/2021","16.1475","15.8250","16.6525","15.3325","","2.04%"
